100,1,0.0000,100.0000,1.550,2.150,59&1
100,2,10.2540,99.8500,1.550,2.150,59&1
100,3,20.5080,99.5000,1.550,2.150,59&1F
100,4,30.1250,99.2000,1.550,2.150,59&2
100,5,40.6500,99.1000,1.550,2.150,59&2
100,6,55.0000,98.5000,1.550,2.150,59&2F
100,7,60.1000,98.0000,1.550,2.150,101&1
100,8,62.2000,98.1000,1.550,2.150,101&1
100,9,64.3000,98.2000,1.550,2.150,101&1F
100,10,66.4000,98.3000,1.550,2.150,99
100,11,68.5000,98.4000,1.550,2.150,Muro&1
100,12,70.6000,98.5000,1.550,2.150,Muro&1
100,13,72.7000,98.6000,1.550,2.150,Muro&1F
